Data.Date,Demand..MW.
2015-07-01,20170.75
2015-07-02,19227.458333333332
2015-07-03,17665.833333333332
2015-07-04,16489.875
2015-07-05,17702.958333333332
2015-07-06,21223.833333333332
2015-07-07,23268.083333333332
2015-07-08,22515.333333333332
2015-07-09,20313.375
2015-07-10,20598.25
2015-07-11,19533.083333333332
2015-07-12,20037.0
2015-07-13,22803.791666666668
2015-07-14,22188.75
2015-07-15,21073.0
2015-07-16,19169.25
2015-07-17,19574.791666666668
2015-07-18,20331.916666666668
2015-07-19,22910.166666666668
2015-07-20,25959.75
2015-07-21,23876.875
2015-07-22,21149.208333333332
2015-07-23,20578.708333333332
2015-07-24,20529.666666666668
2015-07-25,19633.625
2015-07-26,20497.208333333332
2015-07-27,23316.5
2015-07-28,24803.833333333332
2015-07-29,25706.0
2015-07-30,24774.0
2015-07-31,23096.375
2015-08-01,20908.875
2015-08-02,20345.208333333332
2015-08-03,23428.125
2015-08-04,23116.083333333332
2015-08-05,21716.541666666668
2015-08-06,20480.0
2015-08-07,20385.541666666668
2015-08-08,18468.916666666668
2015-08-09,18592.625
2015-08-10,20996.083333333332
2015-08-11,21216.541666666668
2015-08-12,20993.041666666668
2015-08-13,20485.75
2015-08-14,21099.0
2015-08-15,21110.583333333332
2015-08-16,21687.333333333332
2015-08-17,24907.416666666668
2015-08-18,24821.25
2015-08-19,24853.416666666668
2015-08-20,24589.583333333332
2015-08-21,22151.666666666668
2015-08-22,19128.0
2015-08-23,19270.583333333332
2015-08-24,22222.75
2015-08-25,22586.958333333332
2015-08-26,20420.416666666668
2015-08-27,19532.958333333332
2015-08-28,19192.25
2015-08-29,18426.0
2015-08-30,19731.5
2015-08-31,23492.416666666668
2015-09-01,23589.083333333332
2015-09-02,23654.041666666668
2015-09-03,24204.833333333332
2015-09-04,22819.875
2015-09-05,19582.375
2015-09-06,19011.75
2015-09-07,21240.916666666668
2015-09-08,25107.333333333332
2015-09-09,24845.25
2015-09-10,21757.166666666668
2015-09-11,20019.75
2015-09-12,18284.833333333332
2015-09-13,17459.333333333332
2015-09-14,17572.75
2015-09-15,18573.833333333332
2015-09-16,19850.0
2015-09-17,20556.75
2015-09-18,20428.041666666668
2015-09-19,19029.0
2015-09-20,17227.0
2015-09-21,17401.25
2015-09-22,17413.791666666668
2015-09-23,17503.541666666668
2015-09-24,18027.958333333332
2015-09-25,17670.208333333332
2015-09-26,15745.416666666666
2015-09-27,15376.833333333334
2015-09-28,18139.958333333332
